,ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021,4Q2021,1Q2022,2Q2022,3Q2022,4Q2022
0,10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,loss,-21.7,at least -20%,91336,120387,120663,105214,84366,20682,39989,45266,45804,101907,108593,99990,84301,122236,118287,98171
1,10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,loss,-16.8,at least -10%,17745,23214,23302,22508,14884,4831,12298,14436,12407,23252,25051,19100,15526,20169,20078,18141
2,10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,loss,-19.7,at least -10%,552903,704029,727560,710747,448213,79721,176350,192018,196932,428327,535534,559623,453782,622071,648851,640996
3,10141,ABR,SD,Aberdeen Regional,Aberdeen,10k-100k,yes,loss,-5.4,less than -10%,6590,6946,7180,8066,5736,548,3453,4656,3896,5242,5595,7109,5249,5470,5612,5437
4,10146,ABY,GA,Southwest Georgia Regional,Albany,10k-100k,no,loss,-5.1,less than -10%,9836,11028,9966,10630,8142,721,3367,5158,4841,8848,9370,8956,8053,9784,8487,8731
5,10154,ACK,MA,Nantucket Memorial,Nantucket,100k-1 million,no,loss,-32.7,at least -30%,6835,27027,85490,12136,4469,3669,30325,7196,3754,27633,86591,14573,4383,29362,88649,14077
6,10155,ACT,TX,Waco Regional,Waco,10k-100k,no,loss,-5.0,less than -10%,11737,17113,16778,16336,9956,1859,6944,8321,7435,13054,12377,14080,10993,15243,14110,13758
7,10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,10k-100k,no,gain,9.9,less than 10%,14882,20725,25060,25470,17718,2607,8753,8946,7209,18802,32119,36603,27737,32893,31221,27132
8,10158,ACY,NJ,Atlantic City International,Atlantic City,100k-1 million,no,gain,1.9,less than 10%,150134,127499,113924,131055,123805,15961,26644,44789,63403,122862,111937,100485,95979,107316,118589,90431
9,10185,AEX,LA,Alexandria International,Alexandria,100k-1 million,no,loss,-29.1,at least -20%,26811,31436,28339,32225,23826,4837,15817,18810,15445,27286,27672,27380,25582,27313,21179,22628
10,10208,AGS,GA,Augusta Regional at Bush Field,Augusta,100k-1 million,no,loss,-15.1,at least -10%,69757,95902,80999,84550,59571,14365,37146,43178,38336,68245,76941,68802,60513,78172,68454,64789
11,10257,ALB,NY,Albany International,Albany,1-5 million,no,loss,-20.2,at least -20%,341694,388392,408487,367866,288197,46224,96034,91227,102198,231671,328107,307105,260570,335382,370989,316215
12,10268,ALO,IA,Waterloo Regional,Waterloo,10k-100k,yes,gain,0.7,less than 10%,5228,6046,5687,5341,3514,513,1748,1195,1291,3074,4139,4290,3119,4384,3710,3690
13,10275,ALW,WA,Walla Walla Regional,Walla Walla,10k-100k,no,loss,-31.6,at least -30%,9771,13198,12613,13677,8714,2842,3598,5024,5595,11169,11574,10800,9226,10405,8356,5827
14,10279,AMA,TX,Rick Husband Amarillo International,Amarillo,100k-1 million,no,loss,-11.6,at least -10%,80790,96140,95932,93418,64802,15885,46309,51001,49693,87744,91117,90107,74016,100929,103419,101541
15,10333,APN,MI,Alpena County Regional,Alpena,10k-100k,yes,unchanged,0.0,unchanged,2431,2870,3880,3258,2385,308,2004,1740,1656,2682,4210,3244,2428,2937,4889,3612
16,10361,ART,NY,Watertown International,Watertown,10k-100k,yes,loss,-6.9,less than -10%,4879,5415,6035,6137,4753,996,2582,3232,2306,5596,6473,5448,4003,5261,6483,4496
17,10372,ASE,CO,Aspen Pitkin County Sardy Field,Aspen,100k-1 million,no,loss,-2.6,less than -10%,127564,48811,80319,50452,110132,5347,33415,34911,77258,39989,83265,47272,125828,38827,79351,55062
18,10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,10889685,12473076,12357787,11892465,8941557,1274692,3985378,4829233,5038027,8751459,10207429,10062465,8852885,10633381,10606011,10626822
19,10408,ATW,WI,Appleton International,Appleton,100k-1 million,no,loss,-8.5,less than -10%,93157,95881,99824,96881,89134,13949,35749,45138,63113,83465,108715,96433,101905,107839,103659,102413
20,10409,ATY,SD,Watertown Regional,Watertown,10k-100k,yes,gain,24.1,at least 20%,0,2832,4414,4435,3175,475,1880,1695,1425,3334,7284,6376,3569,4559,4295,2978
21,10423,AUS,TX,Austin - Bergstrom International,Austin,more than 5 million,no,gain,30.5,at least 30%,1779894,2247947,2189929,2191676,1551165,233384,619547,757168,721865,1671209,1993296,2300790,1994094,2872279,2639773,2680181
22,10431,AVL,NC,Asheville Regional,Asheville,100k-1 million,no,loss,-4.1,less than -10%,149909,211094,228036,222155,142579,30995,84943,103094,84971,185708,237096,214593,157314,241188,272754,248443
23,10434,AVP,PA,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,100k-1 million,no,loss,-52.8,at least -30%,64584,78011,77137,69435,52883,10097,23916,23562,24760,39277,47468,45428,38580,50341,52052,48724
24,10466,AZA,AZ,Phoenix - Mesa Gateway,Phoenix,100k-1 million,no,gain,1.3,less than 10%,248309,227752,178845,209556,227410,81567,113753,143242,167041,201105,178180,218204,257326,227195,190260,237104
25,10469,AZO,MI,Kalamazoo/Battle Creek International,Kalamazoo,100k-1 million,no,loss,-55.1,at least -30%,34208,32829,41419,41807,29010,2728,9610,11286,11798,20169,23638,23331,17695,19377,16635,17850
26,10529,BDL,CT,Bradley International,Hartford,1-5 million,no,loss,-18.4,at least -10%,744750,865021,827588,824165,617405,95131,199745,233308,273798,568469,712615,697464,579982,735539,750495,753274
27,10558,BFF,NE,Western Neb. Regional/William B. Heilig Field,Scottsbluff,10k-100k,yes,gain,18.1,at least 10%,3973,7603,7941,4773,3426,1152,2836,2140,2030,6065,4886,3460,2890,7850,9441,4092
28,10559,BFI,WA,Boeing Field/King County International,Seattle,10k-100k,no,loss,-1.8,less than -10%,1365,3010,4810,2209,1149,185,1836,908,167,2334,5592,1154,1320,2146,4479,1840
29,10561,BFL,CA,Meadows Field,Bakersfield,100k-1 million,no,gain,2.4,less than 10%,26458,33069,33991,36162,30796,7744,21073,24312,21278,33883,35278,41234,30555,38225,33851,39303
30,10562,BFM,AL,Mobile International,Mobile,10k-100k,no,loss,-100.0,at least -30%,0,5627,9124,6683,4094,17,0,0,56,0,0,0,0,0,0,0
31,10577,BGM,NY,Greater Binghamton/Edwin A. Link Field,Binghamton,10k-100k,no,loss,-60.5,at least -30%,6814,10750,10590,9960,5217,398,1241,1636,1489,2989,2973,2708,2395,3300,3135,4579
32,10581,BGR,ME,Bangor International,Bangor,100k-1 million,no,loss,-6.1,less than -10%,53933,73884,110225,71428,48313,9431,38327,28127,22179,65718,123800,78638,67344,91933,119091,72799
33,10599,BHM,AL,Birmingham-Shuttlesworth International,Birmingham,1-5 million,no,loss,-27.3,at least -20%,349618,415767,389451,400862,276915,51191,139246,169969,157455,282937,319879,343819,286643,346168,359497,360381
34,10613,BID,RI,Block Island State,Block Island,10k-100k,no,loss,-8.9,less than -10%,2367,3893,7784,2801,1715,1420,6720,2488,1771,4457,7107,2959,1881,3878,5460,2971
35,10617,BIH,CA,Bishop Airport,Bishop,less than 10k,no,gain,,other,0,0,0,0,0,0,0,0,0,0,0,1157,7253,250,1916,1328
36,10620,BIL,MT,Billings Logan International,Billings,100k-1 million,no,loss,-25.6,at least -20%,97297,116266,134661,116234,86278,22908,68079,64403,63543,97883,121940,97552,82256,91509,110463,103586
37,10627,BIS,ND,Bismarck Municipal,Bismarck/Mandan,100k-1 million,no,loss,-31.5,at least -30%,74232,77350,78715,79840,66350,13456,32348,38630,42107,53704,59354,58657,57911,60298,62810,61400
38,10631,BJI,MN,Bemidji Regional,Bemidji,10k-100k,yes,loss,-11.9,at least -10%,6966,6989,8236,7150,6475,1036,4588,3852,4532,6243,8045,6570,6130,6353,8061,4720
39,10643,BKG,MO,Branson Airport,Branson,10k-100k,no,loss,-78.8,at least -30%,0,9540,11667,6176,0,966,4245,1855,0,3253,6843,0,0,2791,3208,0
40,10654,BKW,WV,Raleigh County Memorial,Beckley,10k-100k,yes,gain,7.2,less than 10%,1986,1757,4024,3625,2622,580,1748,2473,2067,6003,5447,5367,3598,4914,4357,4717
41,10666,BLI,WA,Bellingham International,Bellingham,100k-1 million,no,gain,10.3,at least 10%,88028,80517,85387,75790,51730,5526,18206,17885,17345,36460,45609,55816,59692,86541,92901,81353
42,10676,BLV,IL,Scott AFB MidAmerica St Louis,Belleville,100k-1 million,no,gain,10.3,at least 10%,32232,47344,43903,29421,29405,20547,32967,25469,26947,46252,51206,35723,32137,52944,46508,31670
43,10685,BMI,IL,Central Il Regional Airport at Bloomington,Bloomington/Normal,100k-1 million,no,loss,-14.4,at least -10%,45939,54505,55320,52817,38933,8142,19811,22868,25622,38281,47294,47205,39230,46796,46191,41282
44,10693,BNA,TN,Nashville International,Nashville,more than 5 million,no,gain,4.2,less than 10%,1891507,2390798,2340886,2352727,1675137,363610,941559,1113052,1051510,2033451,2317662,2330996,1887302,2610185,2661080,2695710
45,10713,BOI,ID,Boise Air Terminal,Boise,1-5 million,no,gain,1.5,less than 10%,463309,517633,557841,540498,396458,86933,242179,270645,278869,458630,571103,514305,460588,551596,627094,600421
46,10721,BOS,MA,Logan International,Boston,more than 5 million,no,loss,-11.6,at least -10%,3560378,4440802,4523157,4263788,2971101,323081,890337,1072327,1089083,2344378,3146198,3297456,2694808,3910765,3981714,3912520
47,10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,10k-100k,no,loss,-18.6,at least -10%,6464,7236,7671,7685,4960,1878,3296,5730,4067,6257,5349,6024,4721,6640,6422,6916
48,10731,BQK,GA,Brunswick Golden Isles,Brunswick,10k-100k,no,loss,-15.9,at least -10%,8676,10729,10276,10787,8766,926,4077,5348,4832,9944,10600,10429,7430,10756,9312,6651
49,10739,BRD,MN,Brainerd Lakes Regional,Brainerd,10k-100k,yes,gain,14.0,at least 10%,4493,5119,6813,5061,4335,466,3812,2884,3038,4282,6463,4674,4096,4585,7259,5876
50,10747,BRO,TX,Brownsville South Padre Island International,Brownsville,100k-1 million,no,loss,-14.0,at least -10%,29901,36032,31786,27160,23843,5300,13261,18126,22406,27080,32425,31462,25922,34714,34488,31489
51,10779,BTM,MT,Bert Mooney,Butte,10k-100k,yes,loss,-10.6,at least -10%,5815,6189,7174,6748,4557,953,3522,3244,2859,4086,4638,5013,4693,4880,4113,4305
52,10781,BTR,LA,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,100k-1 million,no,loss,-28.0,at least -20%,88729,103783,97409,107725,74789,13856,39592,47662,39963,75584,79447,80135,68319,83788,86876,88839
53,10785,BTV,VT,Burlington International,Burlington,100k-1 million,no,loss,-22.3,at least -20%,148309,167051,199266,171347,122692,11868,44832,32586,30588,81446,137382,132604,117406,150803,180861,151932
54,10792,BUF,NY,Buffalo Niagara International,Buffalo,1-5 million,no,loss,-27.0,at least -20%,532639,649981,683022,595544,406778,55548,115005,127683,156053,346333,463717,459628,397195,533873,594496,477610
55,10800,BUR,CA,Bob Hope,Burbank,1-5 million,no,gain,0.8,less than 10%,629384,774963,825891,823594,583274,77612,180257,179980,141764,403899,657342,741496,620435,832429,844146,777059
56,10821,BWI,MD,Baltimore/Washington International Thurgood Marshall,Baltimore,more than 5 million,no,loss,-20.8,at least -20%,2675000,3415245,3446017,3381977,2228444,529277,1277665,1297595,1335082,2432906,2677957,2565487,2106219,2811820,3018199,2822390
57,10849,BZN,MT,Bozeman Yellowstone International,Bozeman,100k-1 million,no,gain,21.5,at least 20%,193580,176957,254569,158131,186838,24206,135776,98387,161719,223615,372181,221748,275407,260849,361537,238267
58,10868,CAE,SC,Columbia Metropolitan,Columbia,100k-1 million,no,loss,-26.4,at least -20%,142109,173196,166470,167814,119910,23455,64279,65562,55761,100686,134077,129934,106370,141795,135949,129203
59,10874,CAK,OH,Akron-Canton Regional,Akron,100k-1 million,no,loss,-49.4,at least -30%,100755,105496,97873,99630,79237,8370,28230,27260,29522,55051,56287,59926,64590,71055,60166,66438
60,10918,CDC,UT,Cedar City Regional,Cedar City,10k-100k,yes,loss,-18.4,at least -10%,3576,6018,9630,4006,2200,0,1696,2040,1777,3034,3351,3895,2472,3288,2802,2897
61,10967,CGI,MO,Cape Girardeau Regional,Cape Girardeau,10k-100k,yes,loss,-33.6,at least -30%,3239,4565,4723,3931,1825,385,1077,1353,991,2296,2632,3160,1927,3618,3787,1767
62,10980,CHA,TN,Lovell Field,Chattanooga,100k-1 million,no,loss,-34.5,at least -30%,122356,147351,142224,145003,97936,18290,49420,61456,57614,97324,115106,109056,92870,120837,114330,107902
63,10990,CHO,VA,Charlottesville Albemarle,Charlottesville,100k-1 million,no,loss,-36.0,at least -30%,85123,101128,97067,102588,69509,7700,25043,28968,24445,55595,65048,67175,52927,76861,64464,66355
64,10994,CHS,SC,Charleston AFB/International,Charleston,1-5 million,no,loss,-2.2,less than -10%,477643,671562,621326,614506,396319,82107,220852,251646,225518,548131,648475,611944,485033,750063,714642,672787
65,11003,CID,IA,The Eastern Iowa,Cedar Rapids/Iowa City,100k-1 million,no,loss,-20.9,at least -20%,149275,166851,176130,175154,146210,22970,63063,76989,86505,125039,157830,158734,143958,149854,152617,161075
66,11013,CIU,MI,Chippewa County International,Sault Ste. Marie,10k-100k,yes,gain,6.3,less than 10%,5604,5847,7221,5708,4528,700,3020,2365,2431,3879,6473,4525,4504,5598,7521,4574
67,11027,CKB,WV,North Central West Virginia,Clarksburg/Fairmont,10k-100k,yes,gain,14.6,at least 10%,8059,11205,10863,9312,6077,2652,3594,3984,3887,10396,12400,8293,6776,15619,14807,11113
68,11042,CLE,OH,Cleveland-Hopkins International,Cleveland,1-5 million,no,loss,-25.3,at least -20%,1050200,1293951,1306878,1199267,870854,157046,448915,501450,542470,908537,1053002,1025734,913216,1108456,1097252,1051736
69,11049,CLL,TX,Easterwood Field,College Station/Bryan,10k-100k,no,loss,-41.5,at least -30%,17991,20200,20396,23778,16584,2570,8195,11584,8859,16330,19032,20217,11612,14499,12209,13424
70,11057,CLT,NC,Charlotte Douglas International,Charlotte,more than 5 million,no,loss,-16.5,at least -10%,5244829,5706625,5652577,5838082,4654071,1332492,3140365,3417025,3400326,5505715,5505210,5501211,4516315,5495368,5650836,5723026
71,11066,CMH,OH,John Glenn Columbus International,Columbus,1-5 million,no,loss,-21.4,at least -20%,933925,1090607,1058933,1087088,737811,127719,337362,380057,401492,719107,841899,868166,759426,970730,936326,935115
72,11067,CMI,IL,University of Illinois/Willard,Champaign/Urbana,100k-1 million,no,loss,-46.9,at least -30%,21295,26748,26751,28269,19123,2362,5387,7419,7184,14795,16562,15911,11938,16441,15671,18310
73,11076,CMX,MI,Houghton County Memorial,Hancock/Houghton,10k-100k,yes,loss,-6.7,less than -10%,4699,5864,7601,6207,4737,938,3371,2792,3096,4508,7343,5960,4639,5082,6734,6101
74,11092,CNY,UT,Canyonlands Regional,Moab,10k-100k,yes,gain,7.8,less than 10%,2563,4876,4639,4436,1556,842,3212,2710,1511,6255,6157,6136,2637,5290,4991,5891
75,11097,COD,WY,Yellowstone Regional,Cody,10k-100k,yes,loss,-12.1,at least -10%,5618,9651,17619,8492,5223,1335,8902,5034,3157,9830,16327,8032,6722,11880,11234,7948
76,11109,COS,CO,City of Colorado Springs Municipal,Colorado Springs,100k-1 million,no,gain,9.3,less than 10%,170522,219640,244140,223883,155480,21436,90510,97892,115779,269503,315671,282616,229211,301450,317994,277684
77,11111,COU,MO,Columbia Regional,Columbia,100k-1 million,no,loss,-47.7,at least -30%,25721,29535,35395,37152,24429,2878,11167,10837,8516,18601,26958,24049,14739,22327,20519,21057
78,11122,CPR,WY,Casper/Natrona County International,Casper,10k-100k,no,loss,-23.6,at least -20%,20178,24853,26942,25480,17705,3789,11196,11930,10679,17510,21526,17418,13710,17894,19818,21597
79,11140,CRP,TX,Corpus Christi International,Corpus Christi,100k-1 million,no,loss,-11.7,at least -10%,73308,88569,81957,85200,62020,15021,36031,47926,47600,80941,80314,78974,65148,86662,84471,83803
80,11146,CRW,WV,West Virginia International Yeager,Charleston/Dunbar,100k-1 million,no,loss,-36.8,at least -30%,47319,60720,59852,57718,40427,7087,21962,22342,20693,42831,45282,39564,34499,43797,41624,43986
81,11150,CSG,GA,Columbus Airport,Columbus,10k-100k,no,gain,58.2,at least 30%,10755,14832,13935,12815,8811,1188,6237,6160,5833,9642,13748,19513,17183,21735,19670,18375
82,11193,CVG,KY,Cincinnati/Northern Kentucky International,Cincinnati,1-5 million,no,loss,-26.3,at least -20%,921311,1162764,1140276,1069779,761993,154764,373065,422960,459020,807960,896089,878215,737962,964164,980929,946472
83,11197,CVN,NM,Clovis Regional,Clovis,less than 10k,yes,loss,-35.3,at least -30%,997,1206,1636,1535,1104,254,559,726,799,1569,2304,2903,2715,3627,3369,3402
84,11203,CWA,WI,Central Wisconsin,Mosinee,100k-1 million,no,loss,-47.8,at least -30%,29982,34735,39071,34444,27537,3282,12707,12344,13125,23127,35632,25417,18753,19316,20094,18523
85,11233,CYS,WY,Cheyenne Regional/Jerry Olson Field,Cheyenne,10k-100k,no,gain,15.2,at least 10%,2817,8276,8929,3254,2630,25,339,797,1222,224,0,2715,2921,5326,7163,6286
86,11252,DAB,FL,Daytona Beach International,Daytona Beach,100k-1 million,no,loss,-19.3,at least -10%,85865,90607,80218,79878,72761,12341,37721,38244,49729,81202,74858,67611,73662,78854,62277,65609
87,11259,DAL,TX,Dallas Love Field,Dallas,more than 5 million,no,loss,-11.6,at least -10%,1975396,2136535,2097533,2175383,1584774,424084,843649,959391,984260,1784477,1929956,2006733,1704659,2095916,2079722,2158236
88,11267,DAY,OH,James M Cox/Dayton International,Dayton,100k-1 million,no,loss,-40.3,at least -30%,191521,225021,215205,211949,148436,27137,68931,72327,72744,134456,163219,145708,121952,159713,140557,134239
89,11274,DBQ,IA,Dubuque Regional,Dubuque,10k-100k,no,loss,-55.2,at least -30%,8190,9454,9509,9368,6972,1026,2898,153,1617,4501,5250,6627,4134,6244,4060,0
90,11278,DCA,VA,Ronald Reagan Washington National,Washington,more than 5 million,no,gain,1.2,less than 10%,2541307,3066780,2890997,2935012,2089856,260584,666037,601906,580313,1619858,2035763,2489997,2172041,3152090,3056009,3055475
91,11288,DEC,IL,Decatur Airport,Decatur,less than 10k,yes,loss,-45.4,at least -30%,1778,2223,2286,2198,1436,222,845,1045,750,2059,2997,3066,1885,4978,5616,4450
92,11292,DEN,CO,Denver International,Denver,more than 5 million,no,loss,-3.8,less than -10%,6985495,8291250,8991067,8047898,6034012,1362036,4074575,4441454,4523802,7202424,8487481,7742503,6791407,8264943,8898459,8461540
93,11298,DFW,TX,Dallas/Fort Worth International,Dallas/Fort Worth,more than 5 million,no,loss,-9.8,less than -10%,6976679,8045073,8326512,7885758,6121998,1783933,4405151,4660117,4379886,7206185,7813652,7720111,6403531,8220090,8148178,7880146
94,11308,DHN,AL,Dothan Regional,Dothan,10k-100k,no,loss,-32.5,at least -30%,13175,15254,14656,15081,11946,1279,3837,6796,6158,10147,10283,10501,9032,11098,10669,7516
95,11315,DIK,ND,Dickinson - Theodore Roosevelt Regional,Dickinson,10k-100k,yes,loss,-6.4,less than -10%,4982,5953,6423,6543,5217,1009,2514,2637,1943,4519,5184,5794,4766,5177,6073,5590
96,11337,DLH,MN,Duluth International,Duluth,100k-1 million,no,loss,-29.7,at least -20%,30604,37638,46724,39414,32644,2782,15150,13896,16397,24839,36849,30340,31811,31982,27479,26533
97,11413,DRO,CO,Durango La Plata County,Durango,100k-1 million,no,loss,-15.4,at least -10%,42734,47394,57682,47930,40680,7045,25775,26009,29792,48787,70245,57032,40528,48099,44701,50142
98,11415,DRT,TX,Del Rio International,Del Rio,10k-100k,no,loss,-4.3,less than -10%,4706,5875,5897,5961,4459,1109,2562,205,2028,5459,6152,6240,4705,6530,7818,7576
99,11423,DSM,IA,Des Moines International,Des Moines,1-5 million,no,loss,-19.7,at least -10%,338150,377265,366969,355130,295150,51653,138054,152011,166287,265505,319646,315721,293558,366856,369867,350819
100,11433,DTW,MI,Detroit Metro Wayne County,Detroit,more than 5 million,no,loss,-28.6,at least -20%,3584661,4219592,4396724,4109250,3033508,459431,1361290,1540519,1687341,2808278,3346979,3193530,2780738,3383336,3314931,3192738
101,11447,DVL,ND,Devils Lake Regional,Devils Lake,less than 10k,yes,gain,4.0,less than 10%,1983,2188,2769,2417,1924,492,1559,1316,1385,2100,2676,2561,2183,3480,3000,2698
102,11468,EAR,NE,Kearney Regional,Kearney,10k-100k,yes,gain,5.0,less than 10%,3561,4947,6056,6745,6734,569,1853,2702,2850,6206,8103,8094,6506,6039,5709,3955
103,11470,EAT,WA,Pangborn Memorial,Wenatchee,10k-100k,no,loss,-48.7,at least -30%,14335,15600,17094,17581,11900,2753,5801,7641,8998,12685,15179,11476,10544,10158,9376,4752
104,11471,EAU,WI,Chippewa Valley Regional,Eau Claire,10k-100k,yes,loss,-29.2,at least -20%,5141,5414,6222,5813,4366,796,1938,2101,2861,4621,5707,5411,5448,4396,3312,2995
105,11481,ECP,FL,Northwest Florida Beaches International,Panama City,100k-1 million,no,gain,11.9,at least 10%,122872,186187,183876,135402,105126,53691,138282,107831,113439,264425,267051,168096,145345,227507,224033,158182
106,11503,EGE,CO,Eagle County Regional,Eagle,100k-1 million,no,gain,22.9,at least 20%,122596,12775,27924,27448,108929,1877,13479,18991,96334,27297,45536,32138,118386,27013,31954,37221
107,11525,EKO,NV,Elko Regional,Elko,10k-100k,no,loss,-46.3,at least -30%,4594,5236,5072,5064,3851,595,2752,3153,2672,4275,4291,4388,2032,2153,2114,2144
108,11537,ELM,NY,Elmira/Corning Regional,Elmira/Corning,100k-1 million,no,loss,-63.3,at least -30%,36376,38518,41435,40056,30942,5065,6515,8842,11853,18551,22890,23626,22704,20649,19173,19291
109,11540,ELP,TX,El Paso International,El Paso,1-5 million,no,loss,-8.4,less than -10%,385332,475967,458364,458196,307525,66403,170375,184882,193462,358138,422153,452623,372933,497969,513143,534173
110,11577,ERI,PA,Erie International/Tom Ridge Field,Erie,100k-1 million,no,loss,-45.4,at least -30%,22226,27528,29739,27083,19948,3355,12723,10246,9434,18629,21281,19600,13944,15816,16074,15991
111,11587,ESC,MI,Delta County,Escanaba,10k-100k,yes,gain,14.5,at least 10%,4437,4232,5512,4545,3708,291,2116,2070,2270,3353,4743,4414,4237,4942,6521,4883
112,11603,EUG,OR,Mahlon Sweet Field,Eugene,100k-1 million,no,gain,5.5,less than 10%,115461,148372,166744,161094,109978,24224,59647,70860,69541,134766,173951,183207,152187,200067,222171,203762
113,11612,EVV,IN,Evansville Regional,Evansville,100k-1 million,no,loss,-51.7,at least -30%,52999,65983,63242,60805,43836,9036,24734,26983,23282,44188,51507,45955,33547,43064,39598,36366
114,11617,EWN,NC,Coastal Carolina Regional,New Bern/Morehead/Beaufort,100k-1 million,no,loss,-51.1,at least -30%,25674,28795,28761,30974,21641,5998,14672,13770,10233,21735,22268,22055,14117,18221,18842,13013
115,11618,EWR,NJ,Newark Liberty International,Newark,more than 5 million,no,loss,-9.0,less than -10%,3639825,4118946,4141197,4191131,3221815,258370,1096275,1529781,1601880,2614306,3204314,3862049,3261664,4135895,3894130,4206388
116,11624,EYW,FL,Key West International,Key West,100k-1 million,no,gain,10.7,at least 10%,145081,123864,99844,114721,150844,16338,62284,93396,153448,210330,180841,178937,205622,191472,143720,152031
117,11637,FAR,ND,Hector International,Fargo,100k-1 million,no,loss,-16.6,at least -10%,118043,114733,118952,123975,114898,16113,51506,58416,75877,94078,116395,117134,115547,106364,114078,122541
